code	occupation	gender	conversations	birth-region	age-range	study-level	L1
PKP001	0-Students	F	KPS006;KPS005	basilicata	21-25	university-degree-ongoing	italian
PKP003	0-Students	M	KPS005;KPS006	basilicata	16-20	university-degree-ongoing	italian
PKP004	2-Professionals	F	KPS005;KPS006	puglia	51-55	tecnical-vocational-diploma	italian
PKP005	4-Clerical-Workers	M	KPS005;KPS006	basilicata	56-60	liceo-diploma	italian
PKP006	2-Professionals	F	KPS006	basilicata	81-85	university-degree	italian
PKP007	2-Professionals	F	KPN001	piemonte	26-30	phd	italian
PKP008	0-Retired	F	KPN020	veneto	56-60	middle-school	italian
PKP009	2-Professionals	F	KPN019	veneto	56-60	university-degree	italian
PKP010	4-Clerical-Workers	F	KPS003	abruzzo	51-55	university-degree	italian
PKP011	0-Students	M	KPN002	estero	21-25	university-degree-ongoing	other
PKP012	N/A	F	KPN002	veneto	21-25	N/A	italian
PKP013	0-Students	F	KPN003;KPN004;KPN005;KPN007	emilia-romagna	21-25	university-degree-ongoing	italian
PKP014	0-Unemployed	F	KPN003;KPN005;KPN006	emilia-romagna	21-25	university-degree	italian
PKP015	3-Technicians	F	KPN003;KPN005	emilia-romagna	21-25	university-degree	italian
PKP016	4-Clerical-Workers	F	KPN004;KPN007	emilia-romagna	51-55	tecnical-vocational-diploma	italian
PKP017	4-Clerical-Workers	M	KPN004;KPN007	emilia-romagna	51-55	phd	italian
PKP018	3-Technicians	F	KPN005	emilia-romagna	51-55	tecnical-vocational-diploma	italian
PKP019	0-Retired	M	KPN006	emilia-romagna	81-85	primary-school	italian
PKP020	0-Students	M	KPN006	emilia-romagna	16-20	university-degree-ongoing	italian
PKP021	3-Technicians	M	KPN006	emilia-romagna	51-55	tecnical-vocational-diploma	italian
PKP022	0-Retired	F	KPN007	emilia-romagna	76-80	tecnical-vocational-diploma	italian
PKP023	0-Students	M	KPN009	sicilia	16-20	university-degree-ongoing	italian
PKP024	0-Students	F	KPC003;KPN010	toscana	21-25	university-degree-ongoing	italian
PKP025	0-Students	F	KPC001	marche	21-25	university-degree-ongoing	italian
PKP026	4-Clerical-Workers	F	KPC001	marche	51-55	tecnical-vocational-diploma	italian
PKP027	4-Clerical-Workers	M	KPC004	lazio	26-30	university-degree	italian
PKP028	0-Students	F	KPC004	lazio	26-30	university-degree-ongoing	italian
PKP029	0-Students	F	KPN010	toscana	21-25	university-degree-ongoing	italian
PKP030	0-Students	M	KPN019;KPN020	veneto	21-25	university-degree-ongoing	italian
PKP031	0-Students	M	KPN002	veneto	21-25	university-degree-ongoing	italian
PKP032	4-Clerical-Workers	M	KPN020	estero	56-60	tecnical-vocational-diploma	other
PKP033	2-Professionals	F	KPN031;KPS004	emilia-romagna	26-30	university-degree	italian
PKP034	0-Retired	F	KPS004	puglia	81-85	tecnical-vocational-diploma	italian
PKP035	0-Retired	M	KPS004	puglia	over 85	tecnical-vocational-diploma	italian
PKP036	2-Professionals	F	KPN031	lazio	26-30	university-degree	italian
PKP037	2-Professionals	M	KPN031	lazio	26-30	university-degree	italian
PKP038	2-Professionals	F	KPN002	veneto	21-25	university-degree	italian
PKP039	2-Professionals	M	KPS008;KPS009;KPS010;KPS011	puglia	56-60	university-degree	italian
PKP040	4-Clerical-Workers	F	KPS008;KPS009;KPS010;KPS011	estero	51-55	university-degree	italian
PKP041	2-Professionals	F	KPS008;KPS009;KPS010;KPS011	puglia	21-25	liceo-diploma	italian
PKP042	2-Professionals	M	KPS009	puglia	16-20	liceo-diploma	italian
PKP043	2-Professionals	M	KPN012;KPS013	puglia	21-25	liceo-diploma	italian
PKP044	2-Professionals	F	KPN012	puglia	21-25	liceo-diploma	italian
PKP045	2-Professionals	M	KPN012	puglia	21-25	university-degree	italian
PKP046	2-Professionals	F	KPN012	puglia	16-20	liceo-diploma	italian
PKP047	2-Professionals	M	KPS010	puglia	21-25	phd	italian
PKP048	0-Unemployed	F	KPS011	veneto	81-85	primary-school	italian
PKP049	0-Unemployed	F	KPS012	puglia	51-55	tecnical-vocational-diploma	italian
PKP050	2-Professionals	F	KPS012	puglia	21-25	liceo-diploma	italian
PKP051	0-Students	F	KPS012	puglia	16-20	middle-school	italian
