token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PKP147	0	secondo	secondo	linguistic	none	_	Begin=15.124	_	_	_	_
0-1	PKP147	0	me,	me	linguistic	none	Intonation=WeaklyRising	_	_	_	_	_
0-2	PKP147	0	con	con	linguistic	none	_	_	_	_	_	_
0-3	PKP147	0	l'	l'	linguistic	none	SpaceAfter=No	_	_	_	_	_
0-4	PKP147	0	olio	olio	linguistic	none	_	_	_	_	_	_
0-5	PKP147	0	e	e	linguistic	none	_	_	_	_	_	_
0-6	PKP147	0	il	il	linguistic	none	_	_	_	_	_	_
0-7	PKP147	0	sale	sale	linguistic	none	_	_	_	_	_	_
0-8	PKP147	0	già	già	linguistic	none	_	_	_	_	_	_
0-9	PKP147	0	è	è	linguistic	none	_	_	_	_	_	_
0-10	PKP147	0	b(u)ona	buona	linguistic	none	_	End=16.822	_	_	0-2(0)	_
1-0	PKP147	1	così	così	linguistic	none	_	Begin=17.649|End=17.97	_	_	_	_
2-0	PKP147	2	che	che	linguistic	none	_	Begin=21.436	_	_	_	_
2-1	PKP147	2	dici	dici	linguistic	none	_	_	_	_	_	_
2-2	PKP147	2	te?	te	linguistic	none	Intonation=Rising	End=21.863	_	_	_	_
3-0	PKP148	3	già	già	linguistic	none	_	Begin=21.863	_	_	_	_
3-1	PKP148	3	condita?	condita	linguistic	none	Intonation=Rising	End=22.544	_	_	_	_
4-0	PKP147	4	no	no	linguistic	none	_	Begin=22.953|End=23.166	_	_	_	_
5-0	PKP148	5	ci	ci	linguistic	none	_	Begin=24.024	_	_	_	_
5-1	PKP148	5	metto	metto	linguistic	none	_	_	_	_	_	_
5-2	PKP148	5	[un	un	linguistic	none	_	_	_	_	_	0-2(0)
5-3	PKP148	5	pochino	pochino	linguistic	none	_	_	_	_	_	0-7(0)
5-4	PKP148	5	d'	d'	linguistic	none	SpaceAfter=No	_	_	_	_	0-2(0)
5-5	PKP148	5	o]lio	olio	linguistic	none	_	_	_	_	_	0-1(0)
5-6	PKP148	5	e	e	linguistic	none	_	_	_	_	_	_
5-7	PKP148	5	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
5-8	PKP148	5	olio	olio	linguistic	none	_	_	_	_	_	_
5-9	PKP148	5	e	e	linguistic	none	_	_	_	_	_	_
5-10	PKP148	5	basta	basta	linguistic	none	_	_	_	_	_	_
5-11	PKP148	5	(pe[rò)]	però	linguistic	none	_	End=26.691	_	_	0-4(0)	1-4(1)
6-0	PKP147	6	[c'	c'	linguistic	none	SpaceAfter=No	Begin=24.379	_	_	_	0-2(0)
6-1	PKP147	6	è	è	linguistic	none	_	_	_	_	_	0-1(0)
6-2	PKP147	6	da	da	linguistic	none	_	_	_	_	_	0-2(0)
6-3	PKP147	6	condirla]	condirla	linguistic	none	_	End=25.032	_	_	_	0-8(0)
7-0	PKP147	7	[m]:h	mh	linguistic	none	_	Begin=26.597|End=26.845	0x1	_	_	0-1(1)
8-0	PKP148	8	(nient~)	nient~	linguistic	none	Interrupted=Yes	Begin=27.455	_	_	0-6(0)	_
8-1	PKP148	8	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
8-2	PKP148	8	parmigiano?	parmigiano	linguistic	none	Intonation=Rising	End=28.64	_	_	_	_
9-0	PKP147	9	se	se	linguistic	none	_	Begin=29.851	_	_	_	_
9-1	PKP147	9	ce	ce	linguistic	none	_	_	_	_	_	_
9-2	PKP147	9	lo	lo	linguistic	none	_	_	_	_	_	_
9-3	PKP147	9	vuoi	vuoi	linguistic	none	_	_	_	_	_	_
9-4	PKP147	9	mettere,	mettere	linguistic	none	Intonation=WeaklyRising	_	_	_	_	_
9-5	PKP147	9	sì	sì	linguistic	none	_	_	_	_	_	_
9-6	PKP147	9	sì	sì	linguistic	none	_	End=30.875	_	_	_	_
10-0	PKP147	10	il	il	linguistic	none	_	Begin=34.458	_	_	_	_
10-1	PKP147	10	sale	sale	linguistic	none	_	_	_	_	_	_
10-2	PKP147	10	non	non	linguistic	none	_	_	_	_	_	_
10-3	PKP147	10	lo	lo	linguistic	none	_	_	_	_	_	_
10-4	PKP147	10	so	so	linguistic	none	_	_	_	_	_	_
10-5	PKP147	10	se	se	linguistic	none	_	_	_	_	_	_
10-6	PKP147	10	la	la	linguistic	none	_	_	_	_	_	_
10-7	PKP147	10	mamma	mamma	linguistic	none	_	_	_	_	_	_
10-8	PKP147	10	ce	ce	linguistic	none	_	_	_	_	_	_
