token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PKP010	0	°eh°	eh	linguistic	none	Volume=Low	Begin=2.26|End=2.52	_	_	_	_
1-0	PKP010	1	°non	non	linguistic	none	Volume=Low	Begin=3.78	_	_	_	_
1-1	PKP010	1	abbaiare	abbaiare	linguistic	none	Volume=Low	_	_	_	_	_
1-2	PKP010	1	tu°	tu	linguistic	none	Volume=Low	End=5.04	_	_	_	_
2-0	PKP010	2	°se	se	linguistic	none	Volume=Low	Begin=5.8	_	_	_	_
2-1	PKP010	2	no	no	linguistic	none	Volume=Low	_	_	_	_	_
2-2	PKP010	2	ti	ti	linguistic	none	Volume=Low	_	_	_	_	_
2-3	PKP010	2	(analizzo)°	analizzo	linguistic	none	Volume=Low	End=6.92	_	_	0-8(0)	_
3-0	PKP135	3	guarda	guarda	linguistic	none	_	Begin=10.14	_	_	_	_
3-1	PKP135	3	eh,	eh	linguistic	none	Intonation=WeaklyRising	End=10.95	_	_	_	_
4-0	PKP010	4	°mh°	mh	linguistic	none	Volume=Low	Begin=11.015|End=11.36	_	_	_	_
5-0	PKP135	5	<qua	qua	linguistic	none	_	Begin=12.555	_	Slow=0-3	_	_
5-1	PKP135	5	(.)	[PAUSE]	shortpause	none	_	_	_	Slow=0-3	_	_
5-2	PKP135	5	analisi>	analisi	linguistic	none	_	_	_	Slow=0-7	_	_
5-3	PKP135	5	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
5-4	PKP135	5	io	io	linguistic	none	_	_	_	_	_	_
5-5	PKP135	5	ci	ci	linguistic	none	_	_	_	_	_	_
5-6	PKP135	5	devo	devo	linguistic	none	_	_	_	_	_	_
5-7	PKP135	5	andare	andare	linguistic	none	_	End=14.565	_	_	_	_
6-0	PKP010	6	mh	mh	linguistic	none	_	Begin=15.07|End=15.52	_	_	_	_
7-0	PKP135	7	>p~	p~	linguistic	none	Interrupted=Yes	Begin=15.875	_	Fast=0-2	_	_
7-1	PKP135	7	sta	sta	linguistic	none	_	_	_	Fast=0-3	_	_
7-2	PKP135	7	co~	co~	linguistic	none	Interrupted=Yes	_	_	Fast=0-3	_	_
7-3	PKP135	7	voi<	voi	linguistic	none	_	End=16.7	_	Fast=0-3	_	_
8-0	PKP010	8	e::h	eh	linguistic	none	_	Begin=17.675|End=18.13	0x2	_	_	_
9-0	PKP135	9	>eh<	eh	linguistic	none	_	Begin=18.345|End=18.835	_	Fast=0-2	_	_
10-0	PKP010	10	e	e	linguistic	none	_	Begin=18.997	_	_	_	_
10-1	PKP010	10	io	io	linguistic	none	_	_	_	_	_	_
10-2	PKP010	10	pure	pure	linguistic	none	_	End=19.81	_	_	_	_
11-0	PKP010	11	allora	allora	linguistic	none	_	Begin=22.483	_	_	_	_
11-1	PKP010	11	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
11-2	PKP010	11	dai	dai	linguistic	none	_	_	_	_	_	_
11-3	PKP010	11	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
11-4	PKP010	11	dammi::	dammi	linguistic	none	_	End=24.37	4x2	_	_	_
12-0	PKP135	12	°mh°	mh	linguistic	none	Volume=Low	Begin=27.66|End=28.15	_	_	_	_
13-0	PKP135	13	no	no	linguistic	none	_	Begin=29.87	_	_	_	_
13-1	PKP135	13	vabbè	vabbè	linguistic	none	_	_	_	_	_	_
13-2	PKP135	13	ma	ma	linguistic	none	_	_	_	_	_	_
13-3	PKP135	13	oh	oh	linguistic	none	_	_	_	_	_	_
13-4	PKP135	13	vuoi	vuoi	linguistic	none	_	_	_	_	_	_
13-5	PKP135	13	mette	mette	linguistic	none	_	_	_	_	_	_
13-6	PKP135	13	tutte	tutte	linguistic	none	_	_	_	_	_	_
13-7	PKP135	13	mo	mo	linguistic	none	_	End=31.66	_	_	_	_
14-0	PKP010	14	eh	eh	linguistic	none	_	Begin=32.523	_	_	_	_
14-1	PKP010	14	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
14-2	PKP010	14	lo	lo	linguistic	none	_	_	_	_	_	_
14-3	PKP010	14	(ridividiamo)	ridividiamo	linguistic	none	_	End=33.72	_	_	0-11(0)	_
15-0	PKP135	15	°ho	ho	linguistic	none	Volume=Low	Begin=33.92	_	_	_	_
15-1	PKP135	15	capito°	capito	linguistic	none	Volume=Low	End=34.58	_	_	_	_
16-0	PKP010	16	°noi	noi	linguistic	none	Volume=Low	Begin=35.04	_	_	_	_
16-1	PKP010	16	due:°.	due	linguistic	none	Intonation=Falling|Volume=Low	End=35.8	2x1	_	_	_
17-0	PKP010	17	questo	questo	linguistic	none	_	Begin=36.68	_	_	_	_
17-1	PKP010	17	l'	l'	linguistic	none	SpaceAfter=No	_	_	_	_	_
17-2	PKP010	17	hai	hai	linguistic	none	_	_	_	_	_	_
17-3	PKP010	17	preso?	preso	linguistic	none	Intonation=Rising	End=37.53	_	_	_	_
18-0	PKP135	18	sì	sì	linguistic	none	_	Begin=37.55	_	_	_	_
18-1	PKP135	18	l'	l'	linguistic	none	SpaceAfter=No	_	_	_	_	_
18-2	PKP135	18	ho	ho	linguistic	none	_	_	_	_	_	_
18-3	PKP135	18	p:reso	preso	linguistic	none	_	End=38.39	0x1	_	_	_
19-0	PKP010	19	mo	mo	linguistic	none	_	Begin=38.455	_	_	_	_
19-1	PKP010	19	ci	ci	linguistic	none	_	_	_	_	_	_
19-2	PKP010	19	sta	sta	linguistic	none	_	_	_	_	_	_
19-3	PKP010	19	quest'	quest'	linguistic	none	SpaceAfter=No	_	_	_	_	_
